geo_id,tract_name,total_population,population_under_5,population_under_5_rate,population_under_18,population_under_18_rate,population_65_plus,median_age,hispanic_latino_population,hispanic_latino_rate,total_households,households_with_children,households_with_seniors,avg_household_size,avg_family_size,school_enrolled_population,elementary_school_enrollment,high_school_enrollment,bachelors_or_higher,median_household_income,mean_household_income,poverty_rate,family_poverty_rate,employed_population,unemployed_population,unemployment_rate,drove_alone_count,drove_alone_rate,public_transit_commute_count,public_transit_commute_rate,work_from_home_count,work_from_home_rate,total_housing_units,occupied_housing_units,vacant_housing_units,vacancy_rate,owner_occupied_units,renter_occupied_units,renter_rate,vehicle_households,no_vehicle_households,no_vehicle_rate,one_vehicle_households,two_vehicle_households,three_plus_vehicle_households,median_gross_rent,rent_burden_30_34_count,rent_burden_35_plus_count,tract_type_flag
1400000US06073000100,Census Tract 1; San Diego County; California,2948,175,5.9,657,22.3,815,51.1,281,9.5,1178,318,543,2.5,2.89,716,224,229,1758,231667.0,331240.0,2.2,2.1,1435,0,0.0,996,69.8,25,1.8,269,18.9,1293,1178,115,8.9,1067,111,9.4,1178,41,3.5,260,592,285,,17,20,residential_or_mixed
1400000US06073000201,Census Tract 2.01; San Diego County; California,2270,80,3.5,440,19.4,711,51.2,90,4.0,1180,208,577,1.92,3.03,459,212,111,1392,124722.0,224327.0,6.7,6.5,1063,45,2.3,538,51.0,7,0.7,361,34.3,1261,1180,81,6.4,534,646,54.7,1180,148,12.5,557,353,122,2407.0,59,233,residential_or_mixed
1400000US06073000202,Census Tract 2.02; San Diego County; California,3755,107,2.8,296,7.9,753,45.8,562,15.0,2240,185,557,1.64,2.44,343,99,39,2077,120091.0,144236.0,2.9,0.9,2418,174,5.0,1424,58.0,117,4.8,816,33.2,2476,2240,236,9.5,1003,1237,55.2,2240,99,4.4,1210,703,228,1992.0,134,375,residential_or_mixed
1400000US06073000301,Census Tract 3.01; San Diego County; California,2311,93,4.0,187,8.1,357,37.3,516,22.3,1302,131,250,1.77,2.55,244,32,27,1248,87813.0,121130.0,15.4,18.1,1435,88,4.1,839,56.9,87,5.9,457,31.0,1475,1302,173,11.7,345,957,73.5,1302,81,6.2,683,436,102,1945.0,69,316,residential_or_mixed
1400000US06073000302,Census Tract 3.02; San Diego County; California,2873,0,0.0,73,2.5,731,45.1,450,15.7,1818,63,535,1.48,1.99,131,38,0,1644,89573.0,125762.0,9.4,0.0,1810,63,2.3,895,49.1,77,4.2,506,27.8,2197,1818,379,17.3,501,1317,72.4,1818,122,6.7,1290,342,64,2412.0,80,664,residential_or_mixed
1400000US06073000400,Census Tract 4; San Diego County; California,4315,126,2.9,242,5.6,291,33.1,1359,31.5,2588,206,211,1.62,2.14,532,72,12,2498,100636.0,128090.0,7.9,0.0,2984,178,4.4,1931,59.2,70,2.1,555,17.0,2646,2588,58,2.2,510,2078,80.3,2588,250,9.7,1454,717,167,2455.0,227,843,residential_or_mixed
1400000US06073000500,Census Tract 5; San Diego County; California,2983,167,5.6,376,12.6,415,39.5,627,21.0,1604,266,271,1.86,2.59,399,131,61,1569,120172.0,179385.0,5.2,4.1,1887,156,5.9,1072,56.5,43,2.3,586,30.9,1779,1604,175,9.8,558,1046,65.2,1604,75,4.7,811,547,171,2019.0,99,301,residential_or_mixed
1400000US06073000600,Census Tract 6; San Diego County; California,3221,81,2.5,153,4.8,525,43.2,447,13.9,2047,111,449,1.56,2.32,261,34,0,1848,104078.0,140025.0,4.0,0.0,2337,83,2.7,1776,73.9,0,0.0,502,20.9,2150,2047,103,4.8,764,1283,62.7,2047,142,6.9,1148,613,144,1957.0,107,323,residential_or_mixed
1400000US06073000700,Census Tract 7; San Diego County; California,4341,231,5.3,309,7.1,753,37.9,1069,24.6,2626,177,640,1.65,2.51,470,25,28,2348,105633.0,119633.0,9.1,3.6,2869,132,3.3,1880,65.6,43,1.5,614,21.4,2702,2626,76,2.8,716,1910,72.7,2626,286,10.9,1499,696,145,1963.0,184,491,residential_or_mixed
1400000US06073000800,Census Tract 8; San Diego County; California,5283,99,1.9,422,8.0,739,36.2,1421,26.9,2966,287,651,1.78,2.62,834,145,115,2864,84747.0,114883.0,6.8,8.0,3366,150,3.1,2272,64.9,45,1.3,886,25.3,3062,2966,96,3.1,949,2017,68.0,2966,297,10.0,1341,1170,158,1985.0,311,774,residential_or_mixed
1400000US06073000901,Census Tract 9.01; San Diego County; California,3632,93,2.6,193,5.3,376,35.3,1055,29.0,2062,171,323,1.76,2.62,423,48,0,1874,102905.0,115077.0,13.0,9.9,2645,76,2.2,1795,65.5,132,4.8,438,16.0,2169,2062,107,4.9,239,1823,88.4,2062,227,11.0,1026,743,66,2042.0,132,562,residential_or_mixed
1400000US06073000902,Census Tract 9.02; San Diego County; California,2441,19,0.8,98,4.0,453,39.3,263,10.8,1541,74,391,1.58,2.16,290,41,38,1384,88229.0,105900.0,12.7,9.5,1579,65,2.7,1003,63.5,98,6.2,442,28.0,1750,1541,209,11.9,247,1294,84.0,1541,236,15.3,875,391,39,1968.0,176,392,residential_or_mixed
1400000US06073001000,Census Tract 10; San Diego County; California,4978,202,4.1,588,11.8,490,33.9,1417,28.5,2728,336,373,1.82,2.67,798,281,86,2441,92850.0,111256.0,9.3,6.7,3306,140,3.2,2098,63.4,55,1.7,749,22.6,2884,2728,156,5.4,445,2283,83.7,2728,181,6.6,1346,1113,88,2118.0,238,910,residential_or_mixed
