state_name,state_name_abbreviation,county_name,census_tract,census_tract_fips_code,population_2020,building_value,area_sq_mi,national_risk_index_value_composite,national_risk_index_score_composite,national_risk_index_rating_composite,national_risk_index_state_percentile_composite,expected_annual_loss_score_composite,expected_annual_loss_rating_composite,expected_annual_loss_total_composite,expected_annual_loss_building_value_composite,expected_annual_loss_rate_building_composite,expected_annual_loss_rate_national_percentile_composite,social_vulnerability_score,social_vulnerability_rating,social_vulnerability_state_percentile,community_resilience_score,community_resilience_rating,community_resilience_state_percentile,coastal_flooding_annualized_frequency,coastal_flooding_exposure_building_value,coastal_flooding_exposure_population,coastal_flooding_expected_annual_loss_building_value,coastal_flooding_expected_annual_loss_total,coastal_flooding_expected_annual_loss_score,coastal_flooding_expected_annual_loss_rating,coastal_flooding_expected_annual_loss_rate_building,coastal_flooding_expected_annual_loss_rate_national_percentile,coastal_flooding_hazard_type_risk_index_score,coastal_flooding_hazard_type_risk_index_rating,drought_annualized_frequency,drought_expected_annual_loss_total,drought_expected_annual_loss_score,drought_expected_annual_loss_rating,drought_expected_annual_loss_rate_national_percentile,drought_hazard_type_risk_index_score,drought_hazard_type_risk_index_rating,earthquake_annualized_frequency,earthquake_exposure_building_value,earthquake_exposure_population,earthquake_expected_annual_loss_building_value,earthquake_expected_annual_loss_total,earthquake_expected_annual_loss_score,earthquake_expected_annual_loss_rating,earthquake_expected_annual_loss_rate_building,earthquake_expected_annual_loss_rate_national_percentile,earthquake_hazard_type_risk_index_score,earthquake_hazard_type_risk_index_rating,heat_wave_annualized_frequency,heat_wave_exposure_building_value,heat_wave_exposure_population,heat_wave_expected_annual_loss_building_value,heat_wave_expected_annual_loss_total,heat_wave_expected_annual_loss_score,heat_wave_expected_annual_loss_rating,heat_wave_expected_annual_loss_rate_building,heat_wave_expected_annual_loss_rate_national_percentile,heat_wave_hazard_type_risk_index_score,heat_wave_hazard_type_risk_index_rating,landslide_annualized_frequency,landslide_exposure_building_value,landslide_exposure_population,landslide_expected_annual_loss_building_value,landslide_expected_annual_loss_total,landslide_expected_annual_loss_score,landslide_expected_annual_loss_rating,landslide_expected_annual_loss_rate_building,landslide_expected_annual_loss_rate_national_percentile,landslide_hazard_type_risk_index_score,landslide_hazard_type_risk_index_rating,inland_flooding_annualized_frequency,inland_flooding_exposure_building_value,inland_flooding_exposure_population,inland_flooding_expected_annual_loss_building_value,inland_flooding_expected_annual_loss_total,inland_flooding_expected_annual_loss_score,inland_flooding_expected_annual_loss_rating,inland_flooding_expected_annual_loss_rate_building,inland_flooding_expected_annual_loss_rate_national_percentile,inland_flooding_hazard_type_risk_index_score,inland_flooding_hazard_type_risk_index_rating,tsunami_annualized_frequency,tsunami_exposure_building_value,tsunami_exposure_population,tsunami_expected_annual_loss_building_value,tsunami_expected_annual_loss_total,tsunami_expected_annual_loss_score,tsunami_expected_annual_loss_rating,tsunami_expected_annual_loss_rate_building,tsunami_expected_annual_loss_rate_national_percentile,tsunami_hazard_type_risk_index_score,tsunami_hazard_type_risk_index_rating,wildfire_annualized_frequency,wildfire_exposure_building_value,wildfire_exposure_population,wildfire_expected_annual_loss_building_value,wildfire_expected_annual_loss_total,wildfire_expected_annual_loss_score,wildfire_expected_annual_loss_rating,wildfire_expected_annual_loss_rate_building,wildfire_expected_annual_loss_rate_national_percentile,wildfire_hazard_type_risk_index_score,wildfire_hazard_type_risk_index_rating,tract_fips
California,CA,San Diego,100,6073000100,2908,788039511,0.59913789,1538308.25725901,50.6522540520614,Relatively Low,50.6522540520614,58.0923973037086,Relatively Moderate,1577870.81494887,1348611.14879636,0.0019210896387279,78.5130469502313,27.46016703,Relatively Low,30.27166174,5.37732496149745,Very Low,13.6269032752766,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,53.2066508313539,0.0,0.0,No Expected Annual Losses,0.0,0.0,No Rating,0.033324,1210637511.6131,2908,781961.150506139,996560.690506139,90.5453648683562,Relatively High,0.0009922867313008,95.4693848791601,89.91235893594,Relatively High,4.36842105263158,788039511.0,2908.0,25.1719927597951,13619.9384486351,19.5547030372924,Relatively Low,3.19425516213679e-08,78.2399943514127,16.4545497878831,Very Low,0.01165308405,128844306.723555,404.930722131132,20.565135137299,115.473888012913,81.1541537303603,Very Low,2.60965787250977e-08,38.1456392887384,81.1446850510744,Relatively Low,7.89285714285714,788039266.317,0.0,563857.5957,563857.5957,49.264861310097,Relatively Moderate,0.0007155194477298,47.0841064424455,41.3470800185509,Relatively Low,,,,,,,Not Applicable,,,,Not Applicable,0.0001613933597167,18020388.7395025,65.28903242738,54.061164852809,97.5685504141244,39.3457243765831,Very Low,6.8602099384848e-08,23.8807035068317,38.169645511517,Very Low,06073000100
California,CA,San Diego,201,6073000201,2001,437020484,0.33704229,871068.577584793,22.7058138013866,Relatively Low,22.7058138013866,21.3624726965263,Relatively Low,767116.810291472,599022.692978078,0.0015386872624083,62.2025976466167,46.12865012,Relatively Moderate,50.65176909,5.37732496149745,Very Low,13.6269032752766,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,53.2066508313539,0.0,0.0,No Expected Annual Losses,0.0,0.0,No Rating,0.033324,730051251.760639,2001,395488.039424076,553450.409424076,86.0946050684642,Relatively Moderate,0.0009049645357677,90.4314536017098,86.8740561045509,Relatively Moderate,4.36842105263158,437020484.0,2001.0,13.9595492361601,9368.54265728518,13.0894241971357,Relatively Low,3.19425513156498e-08,77.1938289184132,12.5780542447209,Very Low,0.0121754731,79892727.2203529,294.755596826573,13.323506795598,85.506114172814,79.1302098033681,Very Low,3.04871448442175e-08,35.9464672123436,80.132710213692,Very Low,7.89285714285714,437020358.7634,0.0,201985.8348,201985.8348,9.7200366395002,Very Low,0.0004621884835951,17.4354698546163,9.44192738991355,Very Low,,,,,,,Not Applicable,,,,Not Applicable,0.0003062511053542,9436115.47870927,54.3768160084681,28.3083457209995,95.4573734763674,39.1138382505084,Very Low,6.4775786850759e-08,21.8222682030609,39.6061503335593,Very Low,06073000201
California,CA,San Diego,202,6073000202,4441,693222470,0.50933883,1713176.30551097,56.27816821852,Relatively Moderate,56.27816821852,50.4673884961364,Relatively Low,1379387.92431955,1132480.40587671,0.0018338632275679,74.4697841557649,56.8909554,Relatively Moderate,61.73732063,5.37732496149745,Very Low,13.6269032752766,0.01,14849.236257858,0.102940729353,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,53.2066508313539,0.0,0.0,No Expected Annual Losses,0.0,0.0,No Rating,0.033324,1096689993.81109,4441,686499.248027729,911018.958027729,89.8149235502736,Relatively High,0.0009903014944505,93.4929656856988,90.9647652004329,Relatively High,4.36842105263158,693222470.0,4441.0,22.143294016007,20783.6143499109,30.2340633347847,Relatively Low,3.19425508754887e-08,75.3415630111677,33.5108918442252,Relatively Low,0.01062994154,144642179.048152,945.500986173268,21.0596567190284,223.211414524439,85.0162291843071,Relatively Low,3.03793625140691e-08,27.5108194562047,86.3377451155269,Relatively Low,7.89285714285714,693222267.6593,0.102940729353,443569.326,443577.912965153,37.119806468281,Relatively Low,0.000639865764882,38.7063438006435,41.4778875768494,Relatively Low,,,,,,,Not Applicable,,,,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,06073000202
California,CA,San Diego,301,6073000301,2155,368354036,0.15669888,562602.630464043,9.49187209399118,Very Low,9.49187209399118,15.7115343965052,Very Low,655290.584658431,550358.225865065,0.0016772156500201,71.14756793574,9.209856068,Very Low,10.15445284,5.37732496149745,Very Low,13.6269032752766,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,53.2066508313539,0.0,0.0,No Expected Annual Losses,0.0,0.0,No Rating,0.032968,605473107.562565,2155,335169.057010898,429330.527010898,84.5303802522489,Relatively Moderate,0.0009099100980419,94.8411113981727,83.6038671470872,Relatively Moderate,4.36842105263158,368354036.0,2155.0,11.7661674681722,10086.292203373,14.253268531485,Relatively Low,3.19425506937359e-08,75.9005377925792,9.80623480623481,Very Low,0.00210143413,35443579.1799493,223.399240583351,1.02018470655907,10.4625790459009,61.9766676074889,Very Low,2.7695765672541e-09,23.2535986452159,60.1346128690854,Very Low,7.89285714285714,368353947.9555,0.0,213917.7761,213917.7761,10.8943795946168,Very Low,0.0005807396015609,31.691993329732,5.85898945215416,Very Low,,,,,,,Not Applicable,,,,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,06073000301
California,CA,San Diego,302,6073000302,2811,713073445,0.1938183,1467380.57468058,48.0598860785083,Relatively Low,48.0598860785083,40.9693026751533,Relatively Low,1162500.9043334,936995.535098092,0.001475068316805,61.2114521924983,58.81715335,Relatively Moderate,63.61594917,5.37732496149745,Very Low,13.6269032752766,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,53.2066508313539,0.0,0.0,No Expected Annual Losses,0.0,0.0,No Rating,0.032968,1264720121.80417,2811,689778.57737206,901244.92737206,89.7362425722808,Relatively High,0.0009673317415039,94.1318082532823,90.9956833505761,Relatively High,4.36842105263158,713073445.0,2811.0,22.7773845858379,13164.0732949935,18.8545135742613,Relatively Low,3.19425505823427e-08,77.8987255374984,21.2128795462129,Relatively Low,0.00092522089,18669988.5648503,91.1923224132646,0.236600107486462,1.93362559817169,45.0477467306426,Very Low,3.31803279375327e-10,20.4040831686894,46.8493215844363,Very Low,7.89285714285714,713073282.7213,0.0,244757.4875,244757.4875,14.2647438758015,Very Low,0.0003432430266702,6.39312304765484,16.7623940161488,Relatively Low,,,,,,,Not Applicable,,,,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,06073000302
California,CA,San Diego,400,6073000400,3794,1182182348,0.45920706,1560544.54731869,51.3812088996706,Relatively Low,51.3812088996706,65.5976231298588,Relatively Moderate,1817641.96152892,1490630.44693329,0.0014154495476863,59.3947436409329,9.209856068,Very Low,10.15445284,5.37732496149745,Very Low,13.6269032752766,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,53.2066508313539,0.0,0.0,No Expected Annual Losses,0.0,0.0,No Rating,0.032968,2311199208.74415,3794,1173234.54507235,1481258.49507235,93.8758014890669,Relatively High,0.0009924311144192,95.9050661155084,91.854256596863,Relatively High,4.36842105263158,1182182348.0,3794.0,37.7619192073031,17774.5376872923,25.8646457276675,Relatively Low,3.19425503782798e-08,78.8613389505396,19.3097859764526,Relatively Low,0.00993699149,80123932.1781389,172.231195798034,10.9054258286366,45.32863807349,74.5413491391476,Very Low,9.22482546545061e-09,41.3914761501552,73.4175258344928,Very Low,7.89285714285714,1182182009.5864,0.0,313307.9089,313307.9089,22.124621274397,Relatively Low,0.0002650250271711,2.66810719402494,12.9344891964848,Very Low,,,,,,,Not Applicable,,,,Not Applicable,0.0003513463447828,0.0,7.04516299925238,0.0,7.00292906033737,21.9090768553863,Very Low,0.0,18.9980141034331,21.3680092278787,Very Low,06073000400
California,CA,San Diego,500,6073000500,3012,451305990,0.43237389,791481.002771308,19.170442248463,Very Low,19.170442248463,22.7153157808206,Relatively Low,793696.733400376,648248.338831448,0.0016124237683673,67.32155858797,30.09595451,Relatively Low,33.03757257,5.37732496149745,Very Low,13.6269032752766,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,53.7608867775139,0.0,0.0,No Expected Annual Losses,0.0,0.0,No Rating,0.032968,714437589.401312,3012,406572.067087442,536575.477087441,85.8937924231393,Relatively Moderate,0.0009008789515234,93.3015477840148,85.8834861403446,Relatively Moderate,4.36842105263158,451305990.0,3012.0,14.4158644703,14095.3775443522,20.2878425927016,Relatively Low,3.19425507077803e-08,75.0744319051037,17.5616092282759,Relatively Low,0.01570306868,50164121.6764098,312.716137329475,10.7895466850607,109.558279759756,80.8142816821902,Very Low,2.39073863944521e-08,27.7424969423276,80.9496628732475,Very Low,7.89285714285714,451305852.1595,0.0,237095.9113,237095.9113,13.3569767714963,Very Low,0.0005253551172675,24.9982384855673,10.0757494678511,Very Low,,,,,,,Not Applicable,,,,Not Applicable,0.0004980981548942,20087437.1783678,217.744791668364,3013.11571987048,3318.27445555258,76.8268464676014,Relatively Low,6.67643635722734e-06,84.9618874341503,75.8993019633025,Relatively Low,06073000500
California,CA,San Diego,600,6073000600,3182,600972195,0.36380721,1082240.87976348,32.3903297539629,Relatively Low,32.3903297539629,32.114756793574,Relatively Low,978163.34780418,796630.970417663,0.0014880299896613,62.325903656904,42.90410472,Relatively Moderate,47.11359404,5.37732496149745,Very Low,13.6269032752766,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,53.7608867775138,0.0,0.0,No Expected Annual Losses,0.0,0.0,No Rating,0.032968,1020885881.95541,3182,544037.067459132,709668.697459132,87.8537708152289,Relatively High,0.0009052616277182,93.907508748855,88.3914237808141,Relatively Moderate,4.36842105263158,600972195.0,3182.0,19.1965848345929,14894.9004578041,21.5458300481307,Relatively Low,3.19425507441204e-08,76.4265624816127,21.0222126888794,Relatively Low,0.00398877561,20965203.8887624,134.125500057364,1.14541839036158,11.9059968777723,63.1068303697432,Very Low,1.9059424044760903e-09,22.2880797817292,63.9101946654299,Very Low,7.89285714285714,600972016.6982,0.0,250520.1361,250520.1361,14.9129811870259,Relatively Low,0.0004168581145422,12.5760387063438,13.720523705897,Very Low,,,,,,,Not Applicable,,,,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,06073000600
California,CA,San Diego,700,6073000700,4072,644913766,0.30421599,1367893.39244088,44.4055985634952,Relatively Low,44.4055985634952,41.8805928083237,Relatively Low,1183601.64413807,966301.650621961,0.0016819766060655,69.7043004439016,48.2372801,Relatively Moderate,53.01785519,5.37732496149745,Very Low,13.6269032752766,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,53.7608867775138,0.0,0.0,No Expected Annual Losses,0.0,0.0,No Rating,0.032968,1040926913.95635,4072,595111.670628993,792068.350628993,88.7157385442845,Relatively High,0.000922777124638,92.9844751861334,89.4985313878682,Relatively High,4.36842105263158,644913766.0,4072.0,20.600190663339,19057.0131921504,27.7180884239265,Relatively Low,3.19425506934194e-08,75.4380597102745,28.7168120501454,Relatively Low,0.00343126617,20319705.5458836,129.295543822777,0.954986592713468,9.87822765002845,61.4004139618026,Very Low,1.4807973454135702e-09,21.7200583309813,62.5367153032952,Very Low,7.89285714285714,644913625.3624,0.0,368964.8588,368964.8588,28.6257838739225,Relatively Low,0.0005721150303372,30.6350846701271,29.1867337352693,Relatively Low,,,,,,,Not Applicable,,,,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,06073000700
California,CA,San Diego,800,6073000800,4890,601966907,0.24721398,1187040.58991522,37.0399438716659,Relatively Low,37.0399438716659,44.0319891020974,Relatively Low,1231532.38706467,1038161.17656124,0.0019359807902073,78.1020269159405,26.15945033,Relatively Low,28.6833169,5.37732496149745,Very Low,13.6269032752766,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,53.7608867775139,0.0,0.0,No Expected Annual Losses,0.0,0.0,No Rating,0.032968,942159751.038599,4890,526082.197664575,695026.487664575,87.6764450290063,Relatively High,0.0008739387357461,93.071376564812,87.28431617376,Relatively Moderate,4.36842105263158,601966907.0,4890.0,19.2283586001587,22879.7537950618,33.0512962330984,Relatively Low,3.19425509551454e-08,73.7246549066218,28.7513704180371,Relatively Low,0.00124005858,37310749.1307581,307.725974852506,0.633726147282033,8.30894941292354,59.62461191081,Very Low,1.05275911335444e-09,18.8105654341895,58.973993079091,Very Low,7.89285714285714,601966754.8925,0.0,510002.2933,510002.2933,44.0648707048406,Relatively Low,0.0008472264627331,59.446414730958,35.7401924060267,Relatively Low,,,,,,,Not Applicable,,,,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,No Expected Annual Losses,0.0,0.0,0.0,No Rating,06073000800
