GEOID,NAMELSAD,school_count,elementary_school_count,middle_school_count,high_school_count,other_school_count,charter_school_count,tract_area_sq_mile,schools_per_sq_mile,district_name,district_type,district_grade_low,district_grade_high,district_overlap_pct,ela_students_tested,ela_current_status,ela_status_level,ela_change,ela_change_level,math_students_tested,math_current_status,math_status_level,math_change,math_change_level,academic_strength_score,academic_strength_tier
06073008331,Census Tract 83.31,1,1,0,0,0,0,0.36842163695281827,2.714281409395248,San Dieguito Union High,High,07,12,1.0000000000000007,5480,80.1,5,8.2,4,5473,56.8,5,5.8,4,5.0,high
06073008336,Census Tract 83.36,0,0,0,0,0,0,0.31990962688384994,0.0,Poway Unified,Unified,PK,12,0.999999999999999,17379,56.5,5,0.8,3,17419,39.8,5,2.6,3,5.0,high
06073008337,Census Tract 83.37,1,1,0,0,0,0,0.6071825930014495,1.6469510350366925,Poway Unified,Unified,PK,12,1.0000000000000009,17379,56.5,5,0.8,3,17419,39.8,5,2.6,3,5.0,high
06073011601,Census Tract 116.01,0,0,0,0,0,0,0.2832891267326043,0.0,National Elementary,Elementary,PK,08,1.0,2127,-43.4,2,7.2,4,2152,-54.5,2,8.2,4,2.0,lower
06073011602,Census Tract 116.02,2,1,0,1,0,0,0.3937005534985427,5.080003018099397,Sweetwater Union High,High,KG,12,1.0000000000000002,14236,-1.0,2,4.8,4,14254,-62.9,2,9.8,4,2.0,lower
06073011700,Census Tract 117,3,2,1,0,0,0,0.6296363128025503,4.76465530815212,National Elementary,Elementary,PK,08,1.0000000000000004,2127,-43.4,2,7.2,4,2152,-54.5,2,8.2,4,2.0,lower
06073011801,Census Tract 118.01,1,1,0,0,0,1,0.25168595986531833,3.973205341033397,National Elementary,Elementary,PK,08,1.0000000000000007,2127,-43.4,2,7.2,4,2152,-54.5,2,8.2,4,2.0,lower
06073013307,Census Tract 133.07,2,2,0,0,0,0,0.5051041173174657,3.9595796815549793,Chula Vista Elementary,Elementary,PK,12,1.0000000000000004,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
06073013308,Census Tract 133.08,0,0,0,0,0,0,0.6212511744629601,0.0,Chula Vista Elementary,Elementary,PK,12,0.9999999999999994,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
06073013309,Census Tract 133.09,2,2,0,0,0,0,0.9757190970207548,2.0497702731316507,Chula Vista Elementary,Elementary,PK,12,1.0000000000000002,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
06073013312,Census Tract 133.12,1,1,0,0,0,0,0.3415792991312536,2.9275778788214706,Chula Vista Elementary,Elementary,PK,12,1.0000000000000002,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
06073008343,Census Tract 83.43,1,1,0,0,0,0,0.29579450390386985,3.3807254252600636,San Diego Unified,Unified,PK,12,0.9999999999999996,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008344,Census Tract 83.44,2,1,0,1,0,0,0.7870569060516782,2.5411123193532843,San Diego Unified,Unified,PK,12,0.9999999999999998,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008345,Census Tract 83.45,0,0,0,0,0,0,0.7383404005775113,0.0,San Diego Unified,Unified,PK,12,0.9999999999999998,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073013401,Census Tract 134.01,2,0,1,1,0,0,0.8687315642046655,2.302207128655472,Chula Vista Elementary,Elementary,PK,12,0.9999999999999979,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
06073013409,Census Tract 134.09,1,1,0,0,0,0,1.0529714622985957,0.949693354288101,Chula Vista Elementary,Elementary,PK,12,1.0000000000000009,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
06073015601,Census Tract 156.01,1,1,0,0,0,0,0.6266663762546282,1.5957454203569368,Cajon Valley Union,Elementary,PK,12,1.000000000000001,9545,-51.1,2,2.4,3,9748,-82.4,2,-1.4,3,2.0,lower
06073015701,Census Tract 157.01,1,0,0,1,0,0,0.3711756011307178,2.694142602460089,Cajon Valley Union,Elementary,PK,12,1.0000000000000004,9545,-51.1,2,2.4,3,9748,-82.4,2,-1.4,3,2.0,lower
06073008348,Census Tract 83.48,1,0,1,0,0,0,0.7715474044246184,1.2960966419759394,San Diego Unified,Unified,PK,12,0.9999999999999998,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008349,Census Tract 83.49,1,1,0,0,0,0,0.37059263444325724,2.698380666691619,San Diego Unified,Unified,PK,12,1.000000000000001,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008351,Census Tract 83.51,0,0,0,0,0,0,0.40914531004077126,0.0,San Diego Unified,Unified,PK,12,0.9999999999999996,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008352,Census Tract 83.52,1,1,0,0,0,0,0.26872770165821525,3.7212389858930983,San Diego Unified,Unified,PK,12,0.999999999999999,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008353,Census Tract 83.53,0,0,0,0,0,0,0.7547506115697696,0.0,San Diego Unified,Unified,PK,12,0.9267451060453828,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073015801,Census Tract 158.01,1,1,0,0,0,0,0.24222528708359903,4.12838813007525,Cajon Valley Union,Elementary,PK,12,1.0,9545,-51.1,2,2.4,3,9748,-82.4,2,-1.4,3,2.0,lower
06073015901,Census Tract 159.01,0,0,0,0,0,0,0.1499895618652294,0.0,Cajon Valley Union,Elementary,PK,12,1.0000000000000002,9545,-51.1,2,2.4,3,9748,-82.4,2,-1.4,3,2.0,lower
06073015902,Census Tract 159.02,2,1,1,0,0,2,0.427395301373067,4.679508627199974,Cajon Valley Union,Elementary,PK,12,1.0000000000000016,9545,-51.1,2,2.4,3,9748,-82.4,2,-1.4,3,2.0,lower
